Profit and Loss,Stockname,TTM,Mar 2010,Sep 2010,Mar 2011,Sep 2011,Mar 2012,Dec 2012,Mar 2013,Jun 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Sep 2016,Dec 2016,Mar 2017,Sep 2017,Dec 2017,Mar 2018,Sep 2018,Dec 2018,Mar 2019,Sep 2019,Dec 2019,Mar 2020,Sep 2020,Dec 2020,Mar 2021,Sep 2021,Dec 2021,Mar 2022,Sep 2022,Dec 2022,Mar 2023,Sep 2023,Dec 2023,Mar 2024
Sales,TATAINVEST,374,,,,,,,201,,,218,,,,229,,,,247,,,270,,,158,,,177,,,144,,,163,,,254,,,277,,,385
Expenses,TATAINVEST,36,,,,,,,15,,,16,,,,17,,,,19,,,32,,,19,,,30,,,42,,,20,,,25,,,32,,,33
Operating Profit,TATAINVEST,338,,,,,,,186,,,202,,,,213,,,,229,,,237,,,139,,,147,,,102,,,144,,,229,,,246,,,352
OPM %,TATAINVEST,90%,,,,,,,93%,,,93%,,,,93%,,,,92%,,,88%,,,88%,,,83%,,,71%,,,88%,,,90%,,,88%,,,91%
Other Income,TATAINVEST,78,,,,,,,0,,,2,,,,0,,,,0,,,0,,,8,,,0,,,0,,,25,,,18,,,36,,,65
Interest,TATAINVEST,6,,,,,,,0,,,0,,,,0,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,8,,,11
Depreciation,TATAINVEST,1,,,,,,,0,,,0,,,,0,,,,0,,,0,,,0,,,0,,,1,,,1,,,1,,,1,,,1
Profit before tax,TATAINVEST,410,,,,,,,186,,,204,,,,213,,,,229,,,237,,,147,,,147,,,101,,,167,,,246,,,272,,,406
Tax %,TATAINVEST,,,,,,,,13%,,,14%,,,,14%,,,,14%,,,16%,,,11%,,,9%,,,11%,,,8%,,,13%,,,8%,,,5%
Net Profit,TATAINVEST,368,,,,,,,174,,,186,,,,186,,,,194,,,200,,,131,,,134,,,90,,,155,,,214,,,252,,,385
EPS in Rs,TATAINVEST,72.98,,,,,,,31.55,,,33.81,,,,33.73,,,,35.28,,,36.37,,,23.79,,,26.44,,,17.89,,,30.43,,,42.34,,,49.78,,,76.09
Dividend Payout %,TATAINVEST,,,,,,,,51%,,,50%,,,,50%,,,,48%,,,49%,,,84%,,,76%,,,101%,,,79%,,,130%,,,96%,,,37%
Sales,TATAMOTORS,443739,,,,,,,188793,,,232834,,,,263159,,,,273046,,,269693,,,291550,,,301938,,,261068,,,249795,,,278454,,,345967,,,437928
Expenses,TATAMOTORS,381634,,,,,,,164197,,,197980,,,,223920,,,,234650,,,240104,,,260093,,,277274,,,243081,,,217507,,,253734,,,314151,,,378389
Operating Profit,TATAMOTORS,62105,,,,,,,24596,,,34853,,,,39239,,,,38395,,,29589,,,31458,,,24664,,,17987,,,32287,,,24720,,,31816,,,59538
OPM %,TATAMOTORS,14%,,,,,,,13%,,,15%,,,,15%,,,,14%,,,11%,,,11%,,,8%,,,7%,,,13%,,,9%,,,9%,,,14%
Other Income,TATAMOTORS,6477,,,,,,,213,,,-157,,,,714,,,,-2670,,,1869,,,5933,,,-26686,,,102,,,-11118,,,2424,,,6664,,,5673
Interest,TATAMOTORS,9459,,,,,,,3560,,,4749,,,,4861,,,,4889,,,4238,,,4682,,,5759,,,7243,,,8097,,,9312,,,10225,,,9986
Depreciation,TATAMOTORS,27211,,,,,,,7601,,,11078,,,,13389,,,,16711,,,17905,,,21554,,,23591,,,21425,,,23547,,,24836,,,24860,,,27270
Profit before tax,TATAMOTORS,31912,,,,,,,13647,,,18869,,,,21703,,,,14126,,,9315,,,11155,,,-31371,,,-10580,,,-10474,,,-7003,,,3394,,,27955
Tax %,TATAMOTORS,,,,,,,,28%,,,25%,,,,35%,,,,21%,,,35%,,,39%,,,-8%,,,4%,,,24%,,,60%,,,21%,,,-14%
Net Profit,TATAMOTORS,34199,,,,,,,9976,,,14050,,,,14073,,,,11678,,,7557,,,9091,,,-28724,,,-11975,,,-13395,,,-11309,,,2690,,,31807
EPS in Rs,TATAMOTORS,101.58,,,,,,,34.62,,,48.46,,,,48.44,,,,40.11,,,25.82,,,31.13,,,-99.84,,,-39.08,,,-40.51,,,-34.46,,,7.27,,,94.47
Dividend Payout %,TATAMOTORS,,,,,,,,6%,,,5%,,,,0%,,,,1%,,,0%,,,0%,,,0%,,,0%,,,0%,,,0%,,,32%,,,15%
Sales,TATAPOWER,63529,,,,,,,33177,,,35726,,,,33593,,,,29494,,,27588,,,26840,,,29881,,,29136,,,32703,,,42816,,,55109,,,61449
Expenses,TATAPOWER,52972,,,,,,,27583,,,28810,,,,27292,,,,27389,,,22114,,,24545,,,26811,,,23847,,,25747,,,35785,,,47381,,,50714
Operating Profit,TATAPOWER,10557,,,,,,,5595,,,6916,,,,6301,,,,2105,,,5473,,,2295,,,3070,,,5289,,,6956,,,7031,,,7728,,,10735
OPM %,TATAPOWER,17%,,,,,,,17%,,,19%,,,,19%,,,,7%,,,20%,,,9%,,,10%,,,18%,,,21%,,,16%,,,14%,,,17%
Other Income,TATAPOWER,3644,,,,,,,375,,,229,,,,1056,,,,4060,,,1297,,,6586,,,7186,,,3796,,,1739,,,2486,,,5540,,,3416
Interest,TATAPOWER,4588,,,,,,,2642,,,3440,,,,3699,,,,3236,,,3365,,,3761,,,4170,,,4494,,,4010,,,3859,,,4372,,,4633
Depreciation,TATAPOWER,3866,,,,,,,2052,,,2730,,,,2174,,,,1649,,,1956,,,2346,,,2393,,,2634,,,2745,,,3122,,,3439,,,3786
Profit before tax,TATAPOWER,5747,,,,,,,1277,,,975,,,,1484,,,,1281,,,1450,,,2773,,,3693,,,1958,,,1941,,,2535,,,5457,,,5732
Tax %,TATAPOWER,,,,,,,,92%,,,103%,,,,72%,,,,53%,,,24%,,,6%,,,29%,,,33%,,,26%,,,15%,,,30%,,,25%
Net Profit,TATAPOWER,4328,,,,,,,123,,,12,,,,457,,,,786,,,1100,,,2611,,,2606,,,1316,,,1439,,,2156,,,3810,,,4280
EPS in Rs,TATAPOWER,11.56,,,,,,,-0.32,,,-0.96,,,,0.62,,,,2.45,,,3.31,,,8.90,,,8.71,,,3.76,,,3.53,,,5.45,,,10.44,,,11.57
Dividend Payout %,TATAPOWER,,,,,,,,-319%,,,-114%,,,,210%,,,,53%,,,39%,,,15%,,,15%,,,41%,,,44%,,,32%,,,19%,,,17%
Sales,TATATECH,5129,,,,,,,,,,,,,,,,,,,,,,,,,,,2942,,,2852,,,2381,,,3530,,,4414,,,5117
Expenses,TATATECH,4207,,,,,,,,,,,,,,,,,,,,,,,,,,,2437,,,2382,,,1995,,,2884,,,3593,,,4176
Operating Profit,TATATECH,922,,,,,,,,,,,,,,,,,,,,,,,,,,,505,,,470,,,386,,,646,,,821,,,941
OPM %,TATATECH,18%,,,,,,,,,,,,,,,,,,,,,,,,,,,17%,,,16%,,,16%,,,18%,,,19%,,,18%
Other Income,TATATECH,108,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,36,,,39,,,49,,,88,,,116
Interest,TATATECH,19,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,16,,,18,,,22,,,18,,,19
Depreciation,TATATECH,112,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,99,,,92,,,86,,,95,,,106
Profit before tax,TATATECH,899,,,,,,,,,,,,,,,,,,,,,,,,,,,471,,,392,,,315,,,587,,,796,,,932
Tax %,TATATECH,,,,,,,,,,,,,,,,,,,,,,,,,,,,25%,,,36%,,,24%,,,26%,,,22%,,,27%
Net Profit,TATATECH,650,,,,,,,,,,,,,,,,,,,,,,,,,,,353,,,252,,,239,,,437,,,624,,,679
EPS in Rs,TATATECH,16.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.38,,,16.75
Dividend Payout %,TATATECH,,,,,,,,,,,,,,,,,,,,,,,,,,,,18%,,,66%,,,0%,,,0%,,,80%,,,60%
Sales,TCS,244125,,,,,,,62989,,,81809,,,,94648,,,,108646,,,117966,,,123104,,,146463,,,156949,,,164177,,,191754,,,225458,,,240893
Expenses,TCS,178165,,,,,,,44950,,,56657,,,,70167,,,,77969,,,85655,,,90588,,,106957,,,114840,,,117631,,,138697,,,166199,,,176597
Operating Profit,TCS,65960,,,,,,,18040,,,25153,,,,24482,,,,30677,,,32311,,,32516,,,39506,,,42109,,,46546,,,53057,,,59259,,,64296
OPM %,TCS,27%,,,,,,,29%,,,31%,,,,26%,,,,28%,,,27%,,,26%,,,27%,,,27%,,,28%,,,28%,,,26%,,,27%
Other Income,TCS,3029,,,,,,,1178,,,1637,,,,3720,,,,3084,,,4221,,,3642,,,4311,,,4592,,,1916,,,4018,,,3449,,,3464
Interest,TCS,788,,,,,,,48,,,39,,,,104,,,,33,,,32,,,52,,,198,,,924,,,637,,,784,,,779,,,778
Depreciation,TCS,4962,,,,,,,1080,,,1349,,,,1799,,,,1888,,,1987,,,2014,,,2056,,,3529,,,4065,,,4604,,,5022,,,4985
Profit before tax,TCS,63239,,,,,,,18090,,,25402,,,,26298,,,,31840,,,34513,,,34092,,,41563,,,42248,,,43760,,,51687,,,56907,,,61997
Tax %,TCS,,,,,,,,22%,,,24%,,,,24%,,,,24%,,,24%,,,24%,,,24%,,,23%,,,26%,,,26%,,,26%,,,26%
Net Profit,TCS,47084,,,,,,,14076,,,19332,,,,20060,,,,24338,,,26357,,,25880,,,31562,,,32447,,,32562,,,38449,,,42303,,,46099
EPS in Rs,TCS,129.21,,,,,,,35.55,,,48.92,,,,50.68,,,,61.58,,,66.71,,,67.46,,,83.87,,,86.19,,,87.67,,,104.75,,,115.19,,,126.88
Dividend Payout %,TCS,,,,,,,,31%,,,33%,,,,78%,,,,35%,,,35%,,,37%,,,36%,,,85%,,,43%,,,41%,,,100%,,,58%
Sales,TECHM,51842,,,,,,,6873,,,18802,,,,22621,,,,26494,,,29141,,,30773,,,34742,,,36868,,,37855,,,44646,,,53290,,,51996
Expenses,TECHM,47118,,,,,,,5451,,,14630,,,,18428,,,,22234,,,24956,,,26063,,,28471,,,31365,,,31059,,,36626,,,45527,,,47489
Operating Profit,TECHM,4724,,,,,,,1422,,,4172,,,,4193,,,,4260,,,4184,,,4710,,,6271,,,5503,,,6796,,,8020,,,7763,,,4506
OPM %,TECHM,9%,,,,,,,21%,,,22%,,,,19%,,,,16%,,,14%,,,15%,,,18%,,,15%,,,18%,,,18%,,,15%,,,9%
Other Income,TECHM,884,,,,,,,-141,,,244,,,,106,,,,453,,,775,,,1417,,,534,,,1192,,,788,,,1115,,,965,,,927
Interest,TECHM,344,,,,,,,103,,,80,,,,69,,,,97,,,129,,,162,,,133,,,192,,,174,,,163,,,326,,,392
Depreciation,TECHM,1833,,,,,,,200,,,522,,,,611,,,,759,,,978,,,1085,,,1129,,,1446,,,1458,,,1520,,,1957,,,1817
Profit before tax,TECHM,3431,,,,,,,978,,,3815,,,,3618,,,,3857,,,3853,,,4879,,,5543,,,5058,,,5953,,,7452,,,6446,,,3224
Tax %,TECHM,,,,,,,,24%,,,20%,,,,27%,,,,22%,,,26%,,,22%,,,23%,,,23%,,,27%,,,24%,,,25%,,,26%
Net Profit,TECHM,2558,,,,,,,1307,,,3062,,,,2659,,,,3027,,,2851,,,3786,,,4289,,,3897,,,4353,,,5630,,,4857,,,2397
EPS in Rs,TECHM,25.77,,,,,,,25.13,,,32.44,,,,27.35,,,,30.92,,,28.88,,,38.78,,,43.70,,,41.76,,,45.73,,,57.27,,,49.60,,,24.14
Dividend Payout %,TECHM,,,,,,,,5%,,,15%,,,,22%,,,,35%,,,28%,,,33%,,,29%,,,32%,,,89%,,,47%,,,91%,,,150%
Sales,TIINDIA,17571,,,,,,,,,,,,,,,,,,0.0,,,4479,,,5000,,,5773,,,4750,,,6083,,,12447,,,14964,,,16890
Expenses,TIINDIA,15560,,,,,,,,,,,,,,,,,,0.0,,,4073,,,4626,,,5240,,,4169,,,5442,,,10997,,,13081,,,14921
Operating Profit,TIINDIA,2010,,,,,,,,,,,,,,,,,,0.0,,,406,,,374,,,533,,,582,,,641,,,1450,,,1883,,,1969
OPM %,TIINDIA,11%,,,,,,,,,,,,,,,,,,,,,9%,,,7%,,,9%,,,12%,,,11%,,,12%,,,13%,,,12%
Other Income,TIINDIA,810,,,,,,,,,,,,,,,,,,0.0,,,41,,,55,,,62,,,40,,,70,,,147,,,319,,,787
Interest,TIINDIA,57,,,,,,,,,,,,,,,,,,0.0,,,77,,,62,,,56,,,34,,,47,,,99,,,58,,,73
Depreciation,TIINDIA,472,,,,,,,,,,,,,,,,,,0.0,,,149,,,154,,,162,,,185,,,251,,,347,,,396,,,465
Profit before tax,TIINDIA,2291,,,,,,,,,,,,,,,,,,0.0,,,221,,,214,,,378,,,403,,,412,,,1152,,,1748,,,2218
Tax %,TIINDIA,,,,,,,,,,,,,,,,,,,,,,21%,,,27%,,,34%,,,22%,,,26%,,,14%,,,24%,,,22%
Net Profit,TIINDIA,1751,,,,,,,,,,,,,,,,,,0.0,,,174,,,156,,,251,,,313,,,305,,,991,,,1325,,,1723
EPS in Rs,TIINDIA,62.56,,,,,,,,,,,,,,,,,,,,,,,,7.86,,,12.81,,,16.31,,,14.85,,,39.85,,,49.48,,,62.08
Dividend Payout %,TIINDIA,,,,,,,,,,,,,,,,,,,,,,0%,,,17%,,,20%,,,21%,,,24%,,,9%,,,7%,,,6%
Sales,TITAGARH,3846,,,,,,,782,,,624,,,,761,,,,959,,,1714,,,1268,,,1559,,,1766,,,1521,,,1468,,,2780,,,3853
Expenses,TITAGARH,3405,,,,,,,736,,,619,,,,721,,,,929,,,1605,,,1365,,,1550,,,1740,,,1440,,,1303,,,2529,,,3404
Operating Profit,TITAGARH,441,,,,,,,46,,,5,,,,40,,,,30,,,108,,,-97,,,9,,,27,,,81,,,165,,,251,,,449
OPM %,TITAGARH,11%,,,,,,,6%,,,1%,,,,5%,,,,3%,,,6%,,,-8%,,,1%,,,2%,,,5%,,,11%,,,9%,,,12%
Other Income,TITAGARH,46,,,,,,,27,,,20,,,,-0,,,,20,,,24,,,25,,,25,,,34,,,25,,,-61,,,34,,,38
Interest,TITAGARH,67,,,,,,,22,,,14,,,,18,,,,17,,,31,,,44,,,65,,,88,,,81,,,57,,,81,,,73
Depreciation,TITAGARH,28,,,,,,,15,,,18,,,,26,,,,46,,,52,,,51,,,24,,,29,,,30,,,18,,,22,,,27
Profit before tax,TITAGARH,392,,,,,,,36,,,-7,,,,-4,,,,-13,,,50,,,-167,,,-56,,,-57,,,-6,,,29,,,181,,,386
Tax %,TITAGARH,,,,,,,,38%,,,58%,,,,177%,,,,52%,,,45%,,,-12%,,,-59%,,,-36%,,,237%,,,102%,,,31%,,,26%
Net Profit,TITAGARH,291,,,,,,,22,,,-10,,,,-10,,,,-20,,,27,,,-147,,,-23,,,-36,,,-19,,,-1,,,126,,,286
EPS in Rs,TITAGARH,21.95,,,,,,,2.35,,,-0.89,,,,-0.33,,,,-1.69,,,2.33,,,-12.43,,,-2.47,,,-2.96,,,-1.26,,,-0.03,,,10.89,,,21.25
Dividend Payout %,TITAGARH,,,,,,,,34%,,,-90%,,,,-48%,,,,-47%,,,34%,,,-2%,,,-12%,,,0%,,,0%,,,0%,,,5%,,,4%
Sales,TITAN,52453,,,,,,,10123,,,10927,,,,11913,,,,11276,,,13261,,,16120,,,19779,,,21052,,,21644,,,28799,,,40575,,,51084
Expenses,TITAN,47039,,,,,,,9109,,,9880,,,,10761,,,,10337,,,12097,,,14476,,,17785,,,18589,,,19919,,,25455,,,35693,,,45792
Operating Profit,TITAN,5414,,,,,,,1014,,,1047,,,,1153,,,,939,,,1164,,,1644,,,1994,,,2463,,,1725,,,3344,,,4882,,,5292
OPM %,TITAN,10%,,,,,,,10%,,,10%,,,,10%,,,,8%,,,9%,,,10%,,,10%,,,12%,,,8%,,,12%,,,12%,,,10%
Other Income,TITAN,540,,,,,,,99,,,117,,,,67,,,,69,,,-42,,,70,,,178,,,153,,,180,,,177,,,306,,,534
Interest,TITAN,740,,,,,,,51,,,87,,,,81,,,,42,,,38,,,53,,,53,,,166,,,203,,,218,,,300,,,619
Depreciation,TITAN,620,,,,,,,56,,,68,,,,90,,,,98,,,111,,,131,,,163,,,348,,,375,,,399,,,441,,,584
Profit before tax,TITAN,4594,,,,,,,1006,,,1010,,,,1049,,,,868,,,973,,,1530,,,1957,,,2102,,,1327,,,2904,,,4447,,,4623
Tax %,TITAN,,,,,,,,28%,,,27%,,,,22%,,,,22%,,,28%,,,28%,,,29%,,,29%,,,27%,,,24%,,,26%,,,24%
Net Profit,TITAN,3455,,,,,,,725,,,735,,,,816,,,,675,,,697,,,1102,,,1389,,,1493,,,974,,,2198,,,3274,,,3496
EPS in Rs,TITAN,38.90,,,,,,,8.17,,,8.28,,,,9.19,,,,7.60,,,8.01,,,12.73,,,15.82,,,16.91,,,10.96,,,24.48,,,36.61,,,39.38
Dividend Payout %,TITAN,,,,,,,,26%,,,25%,,,,25%,,,,29%,,,32%,,,29%,,,32%,,,24%,,,37%,,,31%,,,27%,,,28%
Sales,TORNTPHARM,10996,,,,,,,3203,,,4172,,,,4636,,,,6687,,,5816,,,5950,,,7673,,,7939,,,8005,,,8508,,,9620,,,10728
Expenses,TORNTPHARM,7515,,,,,,,2506,,,3216,,,,3616,,,,3954,,,4438,,,4601,,,5690,,,5769,,,5524,,,6077,,,6778,,,7360
Operating Profit,TORNTPHARM,3481,,,,,,,697,,,955,,,,1020,,,,2733,,,1377,,,1349,,,1983,,,2170,,,2480,,,2431,,,2842,,,3368
OPM %,TORNTPHARM,32%,,,,,,,22%,,,23%,,,,22%,,,,41%,,,24%,,,23%,,,26%,,,27%,,,31%,,,29%,,,30%,,,31%
Other Income,TORNTPHARM,136,,,,,,,1,,,34,,,,286,,,,32,,,223,,,299,,,-300,,,121,,,57,,,-288,,,45,,,146
Interest,TORNTPHARM,326,,,,,,,34,,,59,,,,175,,,,184,,,206,,,308,,,504,,,451,,,353,,,255,,,333,,,354
Depreciation,TORNTPHARM,814,,,,,,,83,,,87,,,,191,,,,238,,,307,,,409,,,618,,,654,,,658,,,662,,,707,,,808
Profit before tax,TORNTPHARM,2477,,,,,,,582,,,844,,,,940,,,,2343,,,1088,,,931,,,562,,,1187,,,1526,,,1226,,,1847,,,2352
Tax %,TORNTPHARM,,,,,,,,25%,,,21%,,,,20%,,,,26%,,,14%,,,27%,,,22%,,,14%,,,18%,,,37%,,,33%,,,30%
Net Profit,TORNTPHARM,1735,,,,,,,435,,,664,,,,751,,,,1733,,,934,,,678,,,436,,,1025,,,1252,,,777,,,1245,,,1656
EPS in Rs,TORNTPHARM,51.27,,,,,,,12.79,,,19.62,,,,22.19,,,,51.22,,,27.59,,,20.04,,,12.89,,,30.28,,,36.99,,,22.97,,,36.79,,,48.94
Dividend Payout %,TORNTPHARM,,,,,,,,45%,,,25%,,,,25%,,,,34%,,,25%,,,35%,,,66%,,,53%,,,47%,,,105%,,,60%,,,57%
Sales,TRENT,13851,,,,,,,2132,,,2333,,,,2284,,,,1686,,,1812,,,2157,,,2630,,,3486,,,2593,,,4498,,,8242,,,12375
Expenses,TRENT,11684,,,,,,,2128,,,2343,,,,2196,,,,1596,,,1679,,,1949,,,2390,,,2957,,,2479,,,3903,,,7128,,,10404
Operating Profit,TRENT,2167,,,,,,,5,,,-10,,,,88,,,,90,,,134,,,208,,,241,,,529,,,114,,,595,,,1114,,,1971
OPM %,TRENT,16%,,,,,,,0%,,,-0%,,,,4%,,,,5%,,,7%,,,10%,,,9%,,,15%,,,4%,,,13%,,,14%,,,16%
Other Income,TRENT,1012,,,,,,,58,,,91,,,,208,,,,86,,,81,,,27,,,30,,,147,,,199,,,152,,,341,,,989
Interest,TRENT,258,,,,,,,29,,,26,,,,22,,,,48,,,46,,,44,,,51,,,263,,,261,,,325,,,409,,,368
Depreciation,TRENT,711,,,,,,,45,,,54,,,,75,,,,39,,,41,,,46,,,52,,,247,,,257,,,311,,,494,,,671
Profit before tax,TRENT,2210,,,,,,,-10,,,1,,,,200,,,,90,,,128,,,147,,,168,,,165,,,-205,,,111,,,552,,,1921
Tax %,TRENT,,,,,,,,262%,,,"1,357%",,,,35%,,,,39%,,,34%,,,41%,,,44%,,,36%,,,-12%,,,69%,,,29%,,,23%
Net Profit,TRENT,1702,,,,,,,-27,,,-19,,,,129,,,,55,,,85,,,87,,,95,,,106,,,-181,,,35,,,394,,,1477
EPS in Rs,TRENT,47.98,,,,,,,-0.81,,,-0.56,,,,3.89,,,,1.66,,,2.55,,,2.62,,,2.92,,,3.46,,,-4.11,,,2.98,,,12.51,,,41.82
Dividend Payout %,TRENT,,,,,,,,-87%,,,-125%,,,,26%,,,,54%,,,39%,,,44%,,,45%,,,29%,,,-15%,,,57%,,,18%,,,8%
Sales,TVSMOTOR,40496,,,,,,,7510,,,8384,,,,10256,,,,11377,,,12463,,,16340,,,20160,,,18849,,,19421,,,24355,,,31974,,,39145
Expenses,TVSMOTOR,34753,,,,,,,7072,,,7892,,,,9650,,,,10558,,,11591,,,14769,,,17997,,,16585,,,17189,,,21601,,,27947,,,33645
Operating Profit,TVSMOTOR,5743,,,,,,,438,,,492,,,,605,,,,819,,,871,,,1571,,,2163,,,2264,,,2232,,,2755,,,4027,,,5500
OPM %,TVSMOTOR,14%,,,,,,,6%,,,6%,,,,6%,,,,7%,,,7%,,,10%,,,11%,,,12%,,,11%,,,11%,,,13%,,,14%
Other Income,TVSMOTOR,60,,,,,,,130,,,44,,,,80,,,,93,,,163,,,71,,,25,,,12,,,36,,,-5,,,136,,,106
Interest,TVSMOTOR,1993,,,,,,,103,,,80,,,,62,,,,70,,,60,,,338,,,663,,,855,,,881,,,940,,,1368,,,1928
Depreciation,TVSMOTOR,995,,,,,,,176,,,149,,,,179,,,,262,,,317,,,374,,,442,,,556,,,565,,,743,,,859,,,975
Profit before tax,TVSMOTOR,2815,,,,,,,290,,,307,,,,444,,,,580,,,658,,,931,,,1083,,,865,,,822,,,1067,,,1936,,,2703
Tax %,TVSMOTOR,,,,,,,,32%,,,39%,,,,28%,,,,26%,,,23%,,,29%,,,33%,,,25%,,,26%,,,31%,,,32%,,,34%
Net Profit,TVSMOTOR,1822,,,,,,,198,,,187,,,,328,,,,429,,,509,,,665,,,725,,,647,,,608,,,731,,,1309,,,1779
EPS in Rs,TVSMOTOR,36.06,,,,,,,4.16,,,3.92,,,,6.91,,,,9.03,,,10.76,,,13.73,,,14.83,,,13.15,,,12.51,,,15.93,,,27.97,,,35.50
Dividend Payout %,TVSMOTOR,,,,,,,,30%,,,37%,,,,28%,,,,28%,,,23%,,,24%,,,24%,,,27%,,,28%,,,24%,,,18%,,,23%
Sales,UBL,8323,,,,,,,3899,,,4230,,,,4688,,,,4833,,,4729,,,5619,,,6475,,,6509,,,4243,,,5838,,,7500,,,8123
Expenses,UBL,7565,,,,,,,3421,,,3632,,,,4066,,,,4136,,,4087,,,4716,,,5337,,,5633,,,3862,,,5142,,,6884,,,7426
Operating Profit,UBL,758,,,,,,,478,,,597,,,,622,,,,697,,,642,,,903,,,1138,,,876,,,381,,,697,,,616,,,696
OPM %,UBL,9%,,,,,,,12%,,,14%,,,,13%,,,,14%,,,14%,,,16%,,,18%,,,13%,,,9%,,,12%,,,8%,,,9%
Other Income,UBL,71,,,,,,,38,,,15,,,,37,,,,82,,,52,,,13,,,32,,,9,,,43,,,30,,,16,,,74
Interest,UBL,7,,,,,,,80,,,80,,,,73,,,,81,,,59,,,48,,,31,,,31,,,23,,,15,,,5,,,7
Depreciation,UBL,218,,,,,,,170,,,198,,,,208,,,,244,,,287,,,260,,,260,,,285,,,232,,,217,,,211,,,212
Profit before tax,UBL,604,,,,,,,266,,,335,,,,379,,,,455,,,348,,,608,,,879,,,569,,,169,,,494,,,417,,,551
Tax %,UBL,,,,,,,,35%,,,32%,,,,31%,,,,34%,,,34%,,,35%,,,36%,,,25%,,,33%,,,26%,,,27%,,,25%
Net Profit,UBL,448,,,,,,,173,,,226,,,,260,,,,299,,,230,,,395,,,563,,,428,,,114,,,366,,,305,,,411
EPS in Rs,UBL,16.92,,,,,,,6.51,,,8.55,,,,9.83,,,,11.28,,,8.68,,,14.91,,,21.29,,,16.18,,,4.28,,,13.82,,,11.50,,,15.51
Dividend Payout %,UBL,,,,,,,,11%,,,11%,,,,10%,,,,10%,,,13%,,,13%,,,12%,,,15%,,,12%,,,76%,,,65%,,,64%
Sales,UNITDSPR,11414,,,,,,,10378,,,10508,,,,9254,,,,8495,,,8818,,,8591,,,9341,,,9325,,,8131,,,9712,,,10612,,,11321
Expenses,UNITDSPR,9415,,,,,,,9287,,,13876,,,,9619,,,,8162,,,7826,,,7381,,,7947,,,7756,,,7080,,,8117,,,9195,,,9321
Operating Profit,UNITDSPR,1999,,,,,,,1091,,,-3368,,,,-366,,,,333,,,991,,,1209,,,1394,,,1569,,,1051,,,1595,,,1417,,,2000
OPM %,UNITDSPR,18%,,,,,,,11%,,,-32%,,,,-4%,,,,4%,,,11%,,,14%,,,15%,,,17%,,,13%,,,16%,,,13%,,,18%
Other Income,UNITDSPR,238,,,,,,,146,,,681,,,,-360,,,,648,,,-265,,,172,,,70,,,89,,,-25,,,-117,,,249,,,208
Interest,UNITDSPR,94,,,,,,,985,,,1323,,,,687,,,,457,,,375,,,278,,,237,,,212,,,188,,,88,,,104,,,76
Depreciation,UNITDSPR,273,,,,,,,178,,,203,,,,223,,,,157,,,189,,,192,,,215,,,285,,,299,,,304,,,283,,,275
Profit before tax,UNITDSPR,1870,,,,,,,73,,,-4213,,,,-1635,,,,366,,,163,,,912,,,1012,,,1160,,,540,,,1087,,,1279,,,1857
Tax %,UNITDSPR,,,,,,,,244%,,,7%,,,,3%,,,,61%,,,43%,,,28%,,,32%,,,47%,,,33%,,,25%,,,12%,,,24%
Net Profit,UNITDSPR,1416,,,,,,,-105,,,-4489,,,,-1687,,,,143,,,93,,,652,,,684,,,621,,,362,,,811,,,1126,,,1408
EPS in Rs,UNITDSPR,19.45,,,,,,,-1.55,,,-61.78,,,,-23.23,,,,1.90,,,1.38,,,8.72,,,9.64,,,9.07,,,5.28,,,11.40,,,15.63,,,19.36
Dividend Payout %,UNITDSPR,,,,,,,,-31%,,,0%,,,,0%,,,,0%,,,0%,,,0%,,,0%,,,0%,,,0%,,,0%,,,0%,,,46%
Sales,UNOMINDA,14756,,,,,,,1340,,,1706,,,,2232,,,,2527,,,3386,,,4471,,,5908,,,6222,,,6374,,,8313,,,11236,,,14031
Expenses,UNOMINDA,13093,,,,,,,1254,,,1628,,,,2078,,,,2290,,,3012,,,3935,,,5182,,,5549,,,5649,,,7428,,,9995,,,12446
Operating Profit,UNOMINDA,1663,,,,,,,86,,,78,,,,154,,,,238,,,374,,,535,,,726,,,673,,,725,,,885,,,1242,,,1585
OPM %,UNOMINDA,11%,,,,,,,6%,,,5%,,,,7%,,,,9%,,,11%,,,12%,,,12%,,,11%,,,11%,,,11%,,,11%,,,11%
Other Income,UNOMINDA,255,,,,,,,19,,,18,,,,33,,,,19,,,14,,,70,,,26,,,5,,,49,,,63,,,149,,,246
Interest,UNOMINDA,124,,,,,,,19,,,24,,,,25,,,,26,,,40,,,35,,,63,,,94,,,74,,,62,,,70,,,113
Depreciation,UNOMINDA,549,,,,,,,46,,,59,,,,83,,,,93,,,136,,,165,,,234,,,340,,,375,,,392,,,430,,,526
Profit before tax,UNOMINDA,1245,,,,,,,39,,,13,,,,79,,,,139,,,212,,,405,,,455,,,244,,,325,,,494,,,891,,,1192
Tax %,UNOMINDA,,,,,,,,28%,,,59%,,,,25%,,,,20%,,,22%,,,24%,,,29%,,,28%,,,31%,,,30%,,,21%,,,22%
